,title,author,genre,platform,story,rate
32,오늘은 꼭 고백할 거야!, CHYA,"학원, 순정, 짝사랑",다음 웹툰,겉바속촉 김단의 험난한 짝사랑 고백 성공기,9.6
33,아싸클럽, 랑쓰,"순정, 드라마, 사랑",다음 웹툰,'친구 없는 사람만 가입 가능!'  수상한 동아리 아싸클럽의 성장 스토리.,9.7
34,대마법사의 딸, 문설아/새벽애,"판타지, 순정, 육아",다음 웹툰,줄곧 나를 미워한 부모님은 친부모님이 아니었다. 내게 진짜 아빠가 따로 있다고 한다. 그래서 떠났다. 친아빠에게로.,9.9
35,환율이 바뀌었나요?, YB/쥐곰이,"드라마, 로맨스, 영혼",다음 웹툰,평범하게 살아가던 은행원 '이 율'. 꽃미남 사채업자와 몸이 뒤바뀌는데...?,9.7
36,CELL, 강형규,"학원, 액션, 초능력",다음 웹툰,어느 날 생긴 예측불가의 초능력. 희망 없는 청춘에게 쓸모 없는 힘이 생겼다!,9.9
37,하나하나둘, 고은,"순정, 드라마, 타임슬립",다음 웹툰,미래의 남편이 유령이 되어 나타났다?! 근데 나와의 과거를 기억 못 한다고?,9.9
38,기프트, 정이리이리,"스포츠, 드라마, 능력",다음 웹툰,"선수들의 등급과 능력을 볼 수 있는 감독과, 선수들의 고교야구 이야기",9.8
39,너를 기다리는 날, 복복,"순정, 판타지, 사랑",다음 웹툰,10년 전 99일 간 실종되었던 하윤은 자신이 실종되었던 장소에서 기묘한 또래 남자아이를 만나게 된다.,9.9
40,너에게 투 혼(魂)!, 롱토피아,"학원, 액션, 빙의",다음 웹툰,남고생이 된 액션배우 옥세라. 어쩔 수 없지! 내가 네 학교생활을 책임져줄게!,9.9
41,후크, 나진수,"판타지, 액션, 혁명",다음 웹툰,마법사와 마도 공학자들의 끝없는 전쟁. 몰락한 네버랜딩을 구하기 위한 혁명이 시작된다.,9.8
42,남남, 정영롱,"드라마, 코믹, 여자들",다음 웹툰,때론 정말 남이고 싶지만 남일 수 없는 이 관계,9.9
43,프레너미, 돌석,"스포츠, 드라마, 테니스",다음 웹툰,"거만한 천재 소년과 심약한 은둔 고수와의 만남, 재능과 노력만으론 최고가 될 수 없다!",9.9
44,구원, Axis,"판타지, 드라마, 복제인간",다음 웹툰,"복제인간 카피와 사랑에 빠진 순정마초 킬러, 그녀를 위해 세상에 맞서다.",9.9
45,나 홀로 버그로 꿀빠는 플레이어, 청초/오둥둥,"액션, 판타지, 게임",다음 웹툰,"성공할 수 있다면, 버그든 무엇이든 OK! 초고도비만 영주의 현생 도전기.",8.1
46,개목걸이, 김종욱/만두,"액션, 학원, 일진",다음 웹툰,저마다의 사정으로 피 튀는 싸움판에 뛰어든 소년들. 갖고 싶다면 뺏어라!,9.3
47,논현동 장사꾼, 김영현/아론/구김,"드라마, 장사, 요리",다음 웹툰,장사를 4번이나 말아먹었다. 그런데 이 괴팍한 할머니가 장사의 신이라고? 제발 제자로 받아주세요!,9.7
48,악한 기사, 글가애/김랄라,"순정, 판타지, 복수",다음 웹툰,대형견 순정남 황제와 악바리 기사의 로맨스,9.6
49,환상의 아이들, 김다,"학원, 공포, 퇴마",다음 웹툰,"귀신이라면 지긋지긋한 태경, 저주받은 학교에서 귀신보다 위험한 놈과 엮였다",9.8
50,그 책에 마음을 주지 마세요, 문시현/임조조,"순정, 드라마, 판타지, 복수",다음 웹툰,우연히 주운 일기장이 미래를 예지한다. 책 속 폭군이 나를 죽일 거라고?,9.8
51,봄날의 팔광, 우표,"순정, 판타지, 연애",다음 웹툰,"'해와 달' 속 달님, 천방지축 선녀와 지상 최대 싸가지 남자가 펼치는 판타지 로맨스!",9.6
52,해피하우스, 장삥준,"스릴러, 드라마, 비밀",다음 웹툰,"인생 패배자 고덕봉, 현실에서 도망쳐 온 폐가의 귀신으로 거듭나며 제 2의 인생을 찾는 듯 하다.",9.7
53,크레센도, 김탐미,"스릴러, 로맨스, 대학생",다음 웹툰,다 가진 여자와 다 뺏고 싶은 남자의 질투와 사랑,9.6
54,무지개다리 파수꾼, 이서,"드라마, 반려동물, 의학",다음 웹툰,"돈과 성공만을 전부로 알던 유명 수의사 한철은, 어느 날 동물들의 소리를 들을 수 있게 되는데...",9.9
55,신의 태궁, 해소금,"순정, 판타지, 동양",다음 웹툰,"신의 아이를 낳아 기르는 여인과, 그를 사랑한 도깨비의 이야기",9.9
56,불러줘 내 이름만, 꿀삼,"순정, 드라마, 사랑",다음 웹툰,첫사랑을 따라 대학에 왔더니 내 강아지와 이름이 똑같은 선배가?!,9.8
57,파륜아이, 박은비,"스릴러, 드라마, 타임슬립",다음 웹툰,부모를 살해한 형. 형이 부모를 죽일 수 밖에 없었던 진실과 마주친다.,9.7
58,주간소년열애사, 박시인,"순정, 드라마, 연애",다음 웹툰,"한 집에 사는 고등학생 5명의 '열애치정 드라마', 매주 금요일에 찾아갑니다.",9.9
59,너에게 가는 거리 2091km, 빵시헌,"순정, 드라마, 연애",다음 웹툰,홍콩과 서울을 오가는 두 사람의 달콤씁쓸한 성장로맨스,9.7
60,플러스 마이너스 제로, 하민석/마영신/이현중,"스릴러, 드라마, 재난",다음 웹툰,지진으로 학교가 땅속에 묻혔다. 누구의 짓이지?,9.8
61,슬프게도 이게 내 인생, 슬,"코믹, 일상, 직장생활",다음 웹툰,어? 사회생활이 원래 이런가? 천방지축 사회초년생 슬이의 다이나믹 인생!,9.8
62,정의는 죽지 않는다, 크레용/경우,"액션, 학원, 노인",다음 웹툰,시시한 10대의 학원 액션은 끝났다. 묵직한 연륜의 액션이 온다,9.6
63,이세계 전담반, 손희준/택,"판타지, 액션, 초능력",다음 웹툰,어느날 평범한 일상에 판타지적인 현상이 일어나기 시작했다. 내 방에 엘프가 몰래 숨어살고 있다고?,9.2
64,이상징후, 잇선,"드라마, 판타지, 능력",다음 웹툰,인생이 지옥 같다면 이상 현상이 벌어진다. 다음은 당신 차례일지도,9.8
65,선택은 하나, 박만두,"미스터리, 로맨스, 미래",다음 웹툰,미래를 보는 ‘하나’. 그를 구하기 위해 최악의 선택을 해야 한다.,9.7
66,사랑하는 존재, 향유 크리에이티브,"드라마, 순정, 사랑",다음 웹툰,심장 이식 수술을 받은 소유. 이식받은 심장이 같은 반 남자애 아빠의 심장이라고?,9.9
67,뱀파이어님의 대리식사, 멜리/웬즈데이,"순정, 판타지, 뱀파이어",다음 웹툰,대학생 시영이와 외로운 뱀파이어의 심쿵 먹방 동거생활!,9.5
68,쓰레기 머학생, 수레기,"일상, 학원, 대학생",다음 웹툰,다소 쓰레기 같은 대학생 작가의 일상을 다룬 만화. 수학을 싫어합니다.,7.8
69,불합격인간, Sepia,"드라마, 가족, 백수",다음 웹툰,"불합격 인간인 나 자신도, 언젠간 바뀔 수 있는 걸까?",9.8
70,감방에서 남자주인공을 만났습니다, 문시현/피티,"순정, 첫사랑, 썸",다음 웹툰,눈 떠보니 책 속 감방이다? 남주는 짐승?!,9.9
71,유부녀 킬러, YOON/검둥,"드라마, 킬러, 여성 능력자",다음 웹툰,"육아휴직을 마치고 회사로 돌아간 5년차 유부녀, 유보나의 비밀스러운 이중생활",9.9
72,액괴, 서강용,"학원, 액션, 일진",다음 웹툰,"교내 괴롭힘으로 황색망사점균을 먹게 된 수와 진오, 이후 둘은 알 수 없는 신체 변화를 겪고 액체 괴물과 같은 능력을 얻게 되는데..",9.8
73,바리공주, 김나임,"드라마, 판타지, 신화",다음 웹툰,무당이 되기 위한 소녀와 아내를 찾아 떠도는 남자의 조선시대 귀신 이야기,9.9
74,내일도 출근!, 맥퀸스튜디오,"순정, 드라마, 연애",다음 웹툰,회사 최악의 까칠남 VS 결혼은 싫다며 도망간 전남친. 둘 중 누구를 선택해야지?!,9.9
75,현세이의 보이는 라디오, 이제환/부족,"드라마, 일상, 질병",다음 웹툰,스트리머 현세이의 일상 소통 이야기,9.9
76,집행자여, 종수,"스릴러, 드라마, 현대사",다음 웹툰,통금시대. 어둠 속에서 고삐 풀린 그들,9.8
77,러브 스트리밍, 마영신/권다희,"드라마, 스릴러, 돈",다음 웹툰,누가 요즘 다운받니? 모든 게 실시간이지. 사랑도 돈도 인생 전부 다.,8.9
78,"신성한, 이혼", 강태경,"드라마, 지식, 결혼생활",다음 웹툰,"결혼은 아름답고 이혼은 치열하다. 누구나 지는 싸움, 이혼 소송.",9.8
79,스타의 학교생활, 올챙구리,"학원, 드라마, 학교생활",다음 웹툰,"10대 스타들의 리얼 관찰 예능쇼, 그런데 국민 비호감 출연?!",9.7
80,아비무쌍, 노경찬/이현석,"무협, 판타지, 무장",다음 웹툰,하늘의 뜻을 아니 아비는 무쌍이다.,9.9
81,멀리서 보면 푸른 봄, 지늉,"드라마, 순정, 대학생",다음 웹툰,왜 사람들은 해피엔딩이 아닌 걸 보고 현실적이라고 말할까? 고단한 청춘들의 하드보일드 드라마,9.8
82,사귄 건 아닌데, 민홍,"순정, 드라마, 첫사랑",다음 웹툰,"스무 살, 이루지 못했던 첫사랑과 스물아홉에 다시 만났다. 이번엔 그 때와 다를 수 있을까?",9.8
83,나를 지켜줘, 동남/하나,"드라마, 순정, 재벌",다음 웹툰,"살인마를 잡기위해 재벌가 비서로 위장한 형사 강해라, 목격자를 지키고 살인마를 잡아라!",9.8
84,사랑하면 디져~트, 참치캔,"순정, 학원, 판타지, 로맨스",다음 웹툰,짝남에게 고백하기 위해 만든 쿠키가 살아 움직인다! 게다가 자기의 사명이 내 고백 성공이라고? ‘제가 최선을 다해 도울게요!’,9.7
85,내 친구는 선녀보살, 챰,"미스터리, 드라마, 무당",다음 웹툰,고등학생 무당이자 sns 스타인 김선녀가 펼치는 기이하고 신비한 이야기.,9.9
86,중고거래, 주명,"스릴러, 미스터리, 살인사건",다음 웹툰,극한의 이득충 '되팔러' 이준! 중고거래 꿀매로 구매한 택배가 도착하고 기쁜 마음으로 택배 상자를 열어보지만...,8.7
87,체벌교사, 시노키오/홍솔민,"학원, 액션, 선생님",다음 웹툰,무너진 교권과 체계를 바로잡기 위해 '천의 고'에 발령받은 체벌 교사 '최강인'의 특별한 야간 자율학습이 시작된다.,8.4
88,수린당 -비늘 고치는 집-, 일링스,"드라마, 판타지, 사랑",다음 웹툰,이런 게 축복이라면 필요 없어. 운명을 바꾸기 위한 자매의 여정,9.9
89,21’ LCK 서머 : Summer is Coming," 빛돌, 뽈쟁이, 제카y","스포츠, 게임, 서바이벌",다음 웹툰,2021년 LCK 서머 스플릿 공식 웹툰 매주 핫한 경기 리뷰와 비하인드 스토리 대방출!,9.4
90,쑥, 문홍조,"드라마, 로맨스, 짝사랑",다음 웹툰,"사라진 여자 '쑥' 그리고 한자리에 모인 '쑥'을 사랑한다는 네 남자, 그들의 여정이 시작된다.",9.8
91,뱀파이어 신드롬, 이충호,"액션, 판타지, 뱀파이어",다음 웹툰,"뱀파이어의 피 묻은 손을 잡던 그 순간, 우리들의 복수가 시작됐다.",9.2
92,지금은 연애를 쉽니다, 유현숙,"순정, 연애, 썸",다음 웹툰,다가오는 이별을 맞이하는 여자의 홀로서기 성장기,9.8
93,소녀신선, 효미,"판타지, 액션, 설화",다음 웹툰,"재수생 하버들, 신선이 되어 성질 드러운 이무기 '꽝철이'와 만나다",9.9
94,백의조각, 홍일,"공포, 미스터리, 저주",다음 웹툰,"반복되는 저주, 받아들일 것인가 끊어낼 것인가",9.8
95,바니와 오빠들, 니은,"순정, 코믹, 연애",다음 웹툰,"흑역사 첫 연애를 끝낸 뒤, 자꾸만 남자들이 꼬이는 중! 누가 똥차고 누가 벤츠일까?",9.9
96,반지하셋방, 평범한 자매,"일상, 코믹, 자매",다음 웹툰,반지하에 살고 있는 자매의 좌충우돌 일상툰,9.8
97,허약선생, 철범/울펜,"무협, 코믹, 학원",다음 웹툰,무림 최고의 암살자 '귀면독' 선생의 특별한 제자 육성이 시작된다.,9.7
98,저승사자 온라인, 쑨,"액션, 판타지, 게임",다음 웹툰,"죽은 소녀의 영혼을 인도하러 온 저승사자, 그런데 게임 속에 갇히다?!",8.6
99,키몽의 호구로운 생활, 키몽,"코믹, 일상, 유머",다음 웹툰,"예쁜 나이 서른 살, 어딘가 모자란 청년들의 호구 같은 나날들",9.8
100,이토록 보통의, 캐롯,"드라마, 순정, 사랑",다음 웹툰,"특별하지만, 보통의 연애",9.5
101,타원을 그리는 법, 섬멍,"드라마, 미스터리, GL",다음 웹툰,"너무 다른 두 사람의 연애 3년, 민성의 비밀은 두 사람을 예기치 못 한 사건에 휘말리게 한다.",9.9
102,악녀의 탄생, TB,"순정, 판타지, 악마",다음 웹툰,한순간 모든 재산을 빼앗긴 그녀 앞에 나타난 세 남자. 그녀의 선택은?,9.8
103,남의 사랑 이야기, 사란,"드라마, 순정, 사랑",다음 웹툰,"마냥 달지만은 않은 남들의 이야기를 스쳐가며, 남보다는 나를 위하게 되는 날까지.",9.8
104,나만 아는 사랑, 아임,"순정, 드라마, 짝사랑",다음 웹툰,사랑을 고백하지 못하는 이들의 짝사랑 로맨스,9.6
105,천연 天緣, ALIC,"판타지, 순정, 초자연",다음 웹툰,"돌이킬 수 없는 과거와 얽히는 현재. 그리고, 유동의 미래",9.6
106,씨방것들, 오청,"드라마, 순정, 현실반영",다음 웹툰,"관종 패밀리의 막내, 첫사랑은 연예인! 그래도 평범하게 살고 싶어!",9.7
107,비밀 사이, 맥퀸스튜디오,"순정, 드라마, BL",다음 웹툰,미웠던 사람이 좋아지는 건 한 순간! 두근두근 회사 로맨스 시작?!,9.9
108,별똥별이 떨어지는 그 곳에서 기다려, 만물상,"판타지, 순정, 동화",다음 웹툰,실종되는 별똥별들의 행방을 쫓는 마녀와 고양이의 이야기,9.9
109,키스해주세요, 한지혜/산다하,"순정, 드라마, 연애",다음 웹툰,키스 못하면 죽는 병에 걸린 남자의 생존을 위한 비밀 키스 계약,9.8
110,주말 도미 시식회, 이용우,"액션, 드라마, 격투",다음 웹툰,소소한 삶을 지키기 위한 그들의 전쟁,9.9
111,재벌과의 인터뷰, 우다,"순정, 드라마, 재벌",다음 웹툰,재벌 납치 감금물 작가가 재벌남의 은인이 되었다?!,9.9
112,열무와 알타리, 유영,"일상, 코믹, 가족",다음 웹툰,우리의 평범하고 특별한 일상들이 누군가에게 공감과 위로가 되길 바라며…,9.9
113,순정 히포크라테스, 골드키위새,"순정, 드라마, 사랑",다음 웹툰,"의대생이 된다는 것, 의대생의 순정이란?",9.9
114,아버지의 복수는 끝이 없어라, 강태진,"스릴러, 드라마, 복수",다음 웹툰,할머니 집에서 찾아낸 아버지. 30년 간 묻혀있던 비극이 복수로 깨어났다.,9.9
115,사랑하는 가족에게, 수하,"드라마, 스릴러, 가족",다음 웹툰,완벽해 보이는 예술가 가족. 그 일상은 천재 아들로 인해 부서지기 시작한다.,9.8
116,미드나잇 블루, 보보군,"순정, 드라마, 삼각관계",다음 웹툰,꿈을 좇는 남자와 쟁취하려는 여자. 현실과 이상을 둔 자존심 싸움,9.6
117,퀴퀴한 일기, 2B,"코믹, 일상, 여자들",다음 웹툰,즈질스럽고 퀴퀴한 언니의 쿰쿰한 일상다반사,9.9
118,죽어도! 치우, 만백,"액션, 판타지, 전투",다음 웹툰,죽어도! 죽지 않고 더 강해지는 치우의 성장 모험기!,9.7
119,구슬의 주인, 갸가,"순정, 학원, GL",다음 웹툰,"어느날 얻게 된 수상쩍은 구슬, 그리고 찾아온...구미호?!",9.8
120,우리가 헤어진 사이에, 오하,"순정, 첫사랑, 삼각관계",다음 웹툰,홀로서기를 시작한 이라 앞에 남사친들이 남자가 되어 돌아왔다!,9.8
121,이대로 멈출 순 없다, 자룡/골왕,"코믹, 학원, 학교생활",다음 웹툰," 사상 최악의 막장 쓰레기 문제아 학교, 정문여상에서 살아남기!",9.9
122,흑우, 유베테/늙슬,"스릴러, 드라마, 주식",다음 웹툰,"탐욕을 향한 호구들의 몸부림, 그리고 펼쳐지는 대 주식사기극",9.7
123,블랙윈터, 정이나,"순정, 판타지, 사랑",다음 웹툰,"어느 새카만 겨울날, 소년은 저주 받았고 소녀는 죄를 지었다.",9.9
124,강호표사, OZi,"무협, 액션, 무림",다음 웹툰,칼퇴를 꿈꾸는 속물 표사 무영! 하지만 사부님의 희망사항은? '협객이 되어라!',9.8
125,날씨의 요정, 이이영,"순정, 판타지, 연애",다음 웹툰,"어느 시골 마을 기우제, 낯선 소년을 만났다. 그리고 비가 내렸다.",9.9
126,풍검, 김철현 ,"액션, 판타지, 동양",다음 웹툰,마계의 힘으로 인간계를 없애려는 자들과 막으려는 자들의 치열한 싸움,8.6
127,헤븐 투 헬, 김종훈,"판타지, 성인, 천사",다음 웹툰,단테의 신곡 속 세계관을 배경으로 펼쳐지는 성인 액션 판타지,9.6
128,일단 질러! 질렐루야, yami ,"코믹, 일상, 쇼핑",다음 웹툰,소소한 생활지름의 세계로 오라~ ,9.6
129,기숙사(死), 이제환/나는나야,"스릴러, 드라마, 폭력",다음 웹툰,사람이 네명이 모이면 한명은 정상이 아니다.,9.7
130,말하지 말까, 마루,"순정, 드라마, 첫사랑",다음 웹툰,첫사랑의 향기를 다시 기억하고 싶은 ‘한마리'와 향기 나는 남자 ‘길은수'가 서로 필요로 하는 이야기.,9.9
131,뽀짜툰, 유리,"코믹, 일상, 반려동물",다음 웹툰,귀요미 냥이들과 함께 하는 유리네 일상 이야기,9.9
132,남궁세가 소공자, 기성욱/남사랑/Rose Studio,"무협, 드라마, 무림",다음 웹툰,이세계를 평정하고 무림으로 돌아온 남궁서휘. 힘을 감춘 그의 행보가 무림을 흔든다.,9.0
133,침묵의 정원, 염라/얌,"순정, 판타지, 복수",다음 웹툰,"남편과 딸을 잃고서야 내 세계가 뒤틀린 걸 깨달았다. 기적처럼 찾아온 두 번째 삶, 이젠 나를 위해 쓸 거야.",9.8
134,미완결, 네온비/안나래,"드라마, 성인, 소설가",다음 웹툰,오랜 팬으로 동경하던 천재 소설가 선생님이 내 애인을 강렬히 원한다,9.8
135,후궁공략, 봉봉,"판타지, 게임, 궁",다음 웹툰, 가상현실 게임 <후궁공략>에 갇혀버렸다? 현실로 돌아갈 방법은 황후가 되는 엔딩을 보는 것 뿐!,9.8
136,유부녀의 탄생, 김환타,"코믹, 일상, 결혼생활",다음 웹툰,누구도 알려주지않은 결혼식 준비에 대한 리얼리티 카툰! ,9.8
137,샬롯에게는 다섯 명의 제자가 있다, 용용,"판타지, 순정, 마법",다음 웹툰,세상을 구한 대마법사. 죽음에서 돌아와 새로운 인생을 살려는데 제자들이 이상하다.,9.9
138,쌍갑포차, 배혜수,"드라마, 판타지, 음식",다음 웹툰,"<2017 대한민국 만화대상> 우수상 수상. 늦은 밤, 낯선 곳에 나타난 의문의 포장마차. 그 곳에서 일어나는 이야기들",9.9
139,어린 (물고기 비늘), 윤태호,"드라마, 모험, 생존",다음 웹툰,우연한 성공으로 극도의 압박감에 계약을 위반하면서까지 남극으로 떠난 작곡가는 그곳에서 더한 고통을 경험한다.,9.8
140,할매, 재후,"액션, 스릴러, 복수",다음 웹툰,칠순을 앞둔 숙자. 어느 날 초주검이 되어 돌아온 손주를 본 순간 그녀의 삶은 송두리째 뒤집힌다.,9.9
141,방구석 여포, 키미하이,"학원, 액션, 능력자",다음 웹툰,방구석에서만큼은 천하무쌍! 찐따고딩 여포의 숨겨진 능력이 깨어난다,9.2
142,록산, 백작,"미스터리, 스릴러, 로맨스",다음 웹툰,"어머니의 죽음과 함께 찾아온 여자, 록산은 막시밀리안의 삶을 통째로 흔들어 놓기 시작한다.",9.9
143,우리집이거든요!, 공룡,"순정, 드라마, 설렘",다음 웹툰,극한인생 서은우에게 찾아 온 거액의 상속! 그리고 상속 예정인 집에 살고 있는 정체모를 그 녀석들!,9.5
144,그녀의 앵무새, 금계수,"순정, 드라마, 청춘",다음 웹툰,현실적인 삶을 사는 은행원 '진아'와 이상적인 삶을 추구하는 정체불명 앵무새 '호두'. 두 상극이 만나며 벌어지는 이야기.,9.9
145,적당한 온도, 우갱,"드라마, 일상, 방황",다음 웹툰,"김민지 23세, 흔한 이름과 얼굴을 가진 일명 '흔녀'. 난 온도를 자유자재로 다룰 수 있다.",9.9
146,해오와 사라, 송송이,"드라마, 판타지, 인어",다음 웹툰,제주도 우도의 푸른 바다. 해녀와 인어의 특별한 인연이 시작된다.,9.9
147,경이로운 소문, 장이,"판타지, 스릴러, 가족",다음 웹툰,영원불멸의 삶을 위해 지구로 내려온 사후세계 악한 영혼들. 그들을 잡는 카운터들의 이야기.,9.9
148,나빌레라, Hun/지민,"드라마, 꿈, 발레",다음 웹툰,"나이 일흔에 도전을 시작했다. 스물셋, 방황이 시작됐다.",10.0
149,악역의 구원자, 명랑/잿슨,"순정, 판타지, 집착",다음 웹툰,"모든 것을 걸어서라도 악역인 아제프의 운명을 바꾸겠노라 다짐한 여자, 엘제이. 자신 문장의 비밀을 숨기고, 그를 구원할 수 있을까?",9.9
150,나비는 세 번 변태한다, 라다/컨트리리,"순정, 욕망, 비밀",다음 웹툰,회사 동료의 남자친구와 키스를 하게 된 나예. 그녀에겐 나쁜 목소리가 들린다.,7.5
151,버닝 이펙트, 박태현,"액션, 판타지, 갱스터",다음 웹툰,'죄를 짓는 자는 죽는다.' 법을 집행하는 자와 세상을 뒤엎으려는 자들의 치열한 싸움,9.9
152,왕 그리고 황제, 정이리이리,"드라마, 코믹, 역사",다음 웹툰,"영혼이 바뀐 고종과 태종, 그들은 조선을 바꿀 수 있을까?",9.6
153,하나밖에 안 보여!, 샌도,"순정, 학원, 학교생활",다음 웹툰,햇살 같은 하나와 음침 미소년 창욱이의 친구 만들기 프로젝트!,9.9
154,사화, 다미/잿슨,"드라마, 판타지, 죽음",다음 웹툰,사랑을 놓을 수 없는 베누와 꽃을 피우는 악마 디테가 그리는 삶과 죽음에 관한 아름다운 이야기,9.6
155,고교호구왕, 김구일/슥수,"스포츠, 학원, 왕따",다음 웹툰,만인의 호구! 왕따 ‘한결’이 검도의 신을 만난 후 검도선수로 성장하는 이야기,9.8
156,하필 너야?!, 임자,"드라마, 순정, 고양이",다음 웹툰,불의의 사고로 고양이가 된 그녀. 운명의 그를 만나고 사람이 될 수 있을까?,8.7
157,의 향, 보리,"순정, 성인, 조선시대",다음 웹툰,당신의 살내음과 여름밤의 향기를 난 평생 잊지 않을 거에요,9.9
