,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
20,,악한 기사, 글가애/김랄라,"순정, 판타지, 복수",다음 웹툰,대형견 순정남 황제와 악바리 기사의 로맨스,0,9.6,1,0,http://t1.daumcdn.net/webtoon/op/31ef5679a07e12a82069c786dde2ae617e2e850f,http://webtoon.daum.net//webtoon/view/favorite
21,,사랑하는 가족에게, 수하,"드라마, 스릴러, 가족",다음 웹툰,완벽해 보이는 예술가 가족. 그 일상은 천재 아들로 인해 부서지기 시작한다.,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/467bbcc948b268413c752e233b74a8fb91bdcf53,http://webtoon.daum.net//webtoon/view/favorite
22,,CELL, 강형규,"학원, 액션, 초능력",다음 웹툰,어느 날 생긴 예측불가의 초능력. 희망 없는 청춘에게 쓸모 없는 힘이 생겼다!,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/9f168e1e70d76ec3c7e59332483da22ba6b789a6,http://webtoon.daum.net//webtoon/view/favorite
23,,우리반 숙경이, 해밀 외 1인/뽀얌,"드라마, 학원, 귀신",다음 웹툰,27년째 학교에 앉아 있는 존재감 없는 찐따 귀신 숙경이 이야기,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/df1aa006a4e92fa8b253718280de57bc936c89d7,http://webtoon.daum.net//webtoon/view/favorite
24,,환상의 아이들, 김다,"학원, 공포, 퇴마",다음 웹툰,"귀신이라면 지긋지긋한 태경, 저주받은 학교에서 귀신보다 위험한 놈과 엮였다",0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/e4c1f278570ce99f8ef939f8476c3afd1345c746,http://webtoon.daum.net//webtoon/view/favorite
25,,단두 (斷頭), 붉은 발/이동욱,"무협, 액션, 무장",다음 웹툰,"부모님의 원수를 갚기 위해 고전분투하는 단영, 단린, 두 오누이의 성장과 복수의 여정",19,9.8,1,0,http://t1.daumcdn.net/webtoon/op/a1e290781cacbe264dc260258c4462c435f3eb62,http://webtoon.daum.net//webtoon/view/favorite
26,,아싸가 알아버렸다, 곰브,"학원, 코믹, 고등학생",다음 웹툰,학교가 싫은 아싸 두봉과 학교가 너무 좋은 인싸 윤정의 이야기!,0,8.4,1,0,http://t1.daumcdn.net/webtoon/op/07d8ac418599e64a74ad64f280d85eb495104449,http://webtoon.daum.net//webtoon/view/favorite
27,,별똥별이 떨어지는 그 곳에서 기다려, 만물상,"판타지, 순정, 동화",다음 웹툰,실종되는 별똥별들의 행방을 쫓는 마녀와 고양이의 이야기,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/75aee904b42d8faa894821eb498a2d457407330d,http://webtoon.daum.net//webtoon/view/favorite
28,,아비무쌍, 노경찬/이현석,"무협, 판타지, 무장",다음 웹툰,하늘의 뜻을 아니 아비는 무쌍이다.,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/49bb2a8f72c35ae85af3bb6193cf59ab5db53c2a,http://webtoon.daum.net//webtoon/view/favorite
29,,닭은 의외로 위대하다, 미역의효능,"드라마, 판타지, 좀비",다음 웹툰,"닭과 고양이, 평범한 20대와 비범한 할머니의 좀비세상 서바이벌",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/02db90fadfe9f0d831680a7e651b22d24c8e7ed9,http://webtoon.daum.net//webtoon/view/favorite
